1,SARAH KOENIG,Chapter VI.
37,BRIAN REED,"It sounds great. And also, I'm learning about you, which is helpful, because I have no idea who you are. (LAUGHING)"
38,OLIN LONG,"Oh, gosh."
39,BRIAN REED,So we're rolling.
40,OLIN LONG,How did you know John? I figure you must have met him.
41,BRIAN REED,"I begin to explain how John wrote to our radio show, how he and I spoke on the phone for months before I ever went down there. And before I can get into much more of the story, Olin takes over the conversation. He seems eager to talk."
42,BRIAN REED,"Olin doesn't tell me why he hadn't heard from John in a year. Maybe I'm getting ahead of myself, he says. One day, after all that time not speaking, Olin says he wondered about John, and finally called him, but his phone number was disconnected, which Olin thought was strange, because John's family had had that phone line since the 1960s. So during some downtime at work, he typed John B. McLemore obituary into Google, and there it was."
43,OLIN LONG,"And that's all I had to go on. Because in all the years I knew John, we had no friends in common. I had no one who knew him. So there was no one I could call."
44,BRIAN REED,"Olin says in the more than six months since that happened, he's been grieving alone. He has one friend at work he's told about John. He's been writing about John in his journal. And one afternoon, he visited his grave. And he corresponded with another commenter who left a message on the condolence website, who's the friend of John's who told Olin about me."
45,OLIN LONG,"And it said contact me, so I clicked—"
46,BRIAN REED,"Olin and I will end up sitting in this motel room for five hours tonight, and more than six hours tomorrow, talking about John. He tells me that it feels exhilarating to finally talk about his relationship with John, to try to make sense of it, now that John's gone, with someone else who knew him, too. The singles line Olin and John met on was called MegaPhone. This was in 2003, before online dating became ubiquitous. It was essentially Grindr for your landline. You'd dial into the service, listen to short messages people had recorded describing themselves. If you liked them, you'd beep them, as it was called. And then if they were intrigued, they could pay to be connected with you on the phone. That's what happened with Olin and John. John beeped Olin, and Olin called him back."
47,OLIN LONG,"One of the first things he said to me was that he lived with his parents, and he lived in a small town. And he said, I hope that's not a problem. We just started talking."
48,BRIAN REED,"And that talking went on for months—15 months, as Olin said—before they met in person, usually talking in the middle of the night, because Olin keeps night shift hours even on his days off, and John would just be finishing up his work in the clock shop, which he did in the evening because it was cooler."
49,OLIN LONG,"And I just remember enjoying talking at night, maybe even sitting in the dark with no lights on, and just talking on the phone with John."
50,BRIAN REED,"They found a lot to discuss. Books they were reading. Olin gravitated more to fiction, John to science. They talked about music, things going on in the world, about growing up, and a lot about being gay men in Alabama. Olin didn't still live in his hometown like John, but was born and raised in Alabama, too, and had lived much of his life there. I have to say, Olin has such a ridiculous recall for the details of these conversations, he could be John's official biographer, like what he remembers about John's father."
51,OLIN LONG,"Tom McLemore had one eye that was straight, and the other one was a little off-center."
52,BRIAN REED,Who Olin recalls only from a photograph he saw hanging on John's wall. He never met the man. Or John's mother—
53,OLIN LONG,"Mary Grace's birthday is November the 29th or November the 30th, 1926."
54,BRIAN REED,Who remembers that about their friend's mother?
55,OLIN LONG,She got married in 1951.
56,BRIAN REED,"Oh, yeah. Of course. What about cousin Jimmy on John's father's side? Of course, as Olin and John were chatting, they were feeling each other out. At one point, before they'd met, John sent Olin a photo of himself standing on a chair alongside a very tall grandfather clock at his house, with the ostensible reason of showing Olin how large the clock was. Olin looked at the clock, then looked at the man standing next to it. He noticed John's red hair, his lack of freckles, and thought, he's not bad-looking. When finally Olin visited John in Woodstock, he did so with curiosity."
57,OLIN LONG,"I was trying to decide if I was attracted to him. Because I'm going to be honest with you, when I would go down there and visit him, the few times I'd go down there, it was to take a second look."
58,BRIAN REED,"Though if they were trying to impress each other, John didn't necessarily put in a ton of effort."
59,OLIN LONG,"I mean, I went over there dressed like this one time, and he said, I only dress that way to go talk to the lawyer."
60,BRIAN REED,"I mean, Olin was dressed in that he was wearing jeans and a shirt."
61,OLIN LONG,"The difference is mine were clean and untattered. He was wearing a t-shirt with holes in it, paint stains all over it. And the trousers he had on, very much the same. And then, of course, I was down there one evening in his bedroom, and he had a pile of handkerchiefs there on the floor. And I suspected they were used handkerchiefs. And surely enough, he had to blow his nose, and he went over there and he picked up a used, wadded-up handkerchief and blew it, and then threw it back down there in the pile. And I didn't say anything, but I thought, I don't do that."
62,BRIAN REED,"So that gave Olin pause. But still, night after night, he and John found themselves talking for hours on the phone. They were getting close."
63,OLIN LONG,"We got on well. He was somebody that I could—there was intimacy there. And I'm going to tell you the definition of intimacy that was given to me by a counselor. Intimacy is the feeling that I can tell another person my thoughts and my behaviors without fear of judgment. If I can tell them the things that I've done, even things that I'm not proud of, and they're still going to answer the phone and say hey, Olin, how are you getting along. That's how John would do—say, how are you getting along? So we did have a close friendship there."
64,BRIAN REED,"As Olin and John got to know each other, they did what you do—talk about past relationships. And there they had a lot in common. They'd both dealt with a lot of secrecy and repression."
65,OLIN LONG,He told me that he'd had a relationship at one point with an older man. He called him William.
66,BRIAN REED,"This was John's first relationship, according to Olin. He says John was probably 21 when he met this man he called William, which would have been in the late '80s. John told him it was a hot summer's day."
67,OLIN LONG,"And there was a road crew working on the highway right out there in front of John's house. And John said he went out there with some water, kind of like the water boy at a football game. And William was one of the guys out there working on that road crew. And as John said later, William said, the first time I saw you, I knew you were hiding something, that you needed help."
68,BRIAN REED,"Help coming out of the closet, if not to the world, then at least to one other person in the world, which, as far as Olin knows, at that point John had never done. Olin also had an older, more experienced, but still not publicly out man coax him out of the closet and teach him the ropes of gay life as he knew it. His was a professor at his college, a married professor. John's was a tattooed road crew worker in Bibb County."
69,OLIN LONG,"According to John, I don't think anyone else down there knew. William was not obviously gay, no effeminate mannerisms at all. I also know that he was not very literate. It was like a symbiotic relationship. He had something to offer to John, something to help John come out of his isolation. But at the same time, if he got letters in the mail that looked official, and he couldn't read them well, John would interpret those things for him. John might write his checks for him."
70,BRIAN REED,"And in exchange, William imparted on John knowledge he had. Olin refers to them as lessons about sex. I notice that Olin is rather forthright when talking about sex, but he uses somewhat clinical words to do it. Gay people are homosexual, being gay is your sexual orientation, people sleeping together is—"
71,OLIN LONG,Sexual activity.
72,BRIAN REED,"Or physical contact, or, once in a while, when he lets his hair down a little bit, a sexual interlude. Olin believes John and William were together, engaging in sexual activity in utter secret for at least two years before William moved away, a two-year apprenticeship that William provided to John. Did you get the sense that he taught him at all about how to be a gay person in that area?"
73,OLIN LONG,"I'm glad you asked that. No. I didn't get that impression. I didn't get that impression at all. I think it was mostly sex. I don't know that there was any how do we feel about each other, any discussion of the relationship. I got the impression that William's experience with gay life, even though it may have been extensive, was mostly centered around sexual connections, not relationships."
74,BRIAN REED,"And Olin could relate to that, because his experience with his professor was very similar. At 19, Olin admired the man and was grateful to him. But the man was also cheating on his wife and instead of teaching Olin how to have a healthy, open relationship, gave him lessons on how to cruise for sex in parks at nighttime and in public bathrooms. Another thing Olin and John could relate on—they both came out to their families and weren't accepted. Olin told his mother when he was 26. And after that, he says she never mentioned it again, of her own volition. He's about to turn 60. He has never brought home a partner. Olin says when John tried to come out to his mother years ago, she simply left the room. And they never spoke of it again, either, although Olin says he never heard John use the word gay to describe himself. He always used queer, and told Olin he was, quote, ""only 60% to 70% that way."" John and Olin both kept their sexuality hidden for much of their lives. John talked to Olin and to me about how you had to be very careful about that where he lived. And it seems there were only a handful of people in his life he was out to. Olin says John had a refrain he'd use to describe his life in Bibb County. You just learn to live without, he would say, without sex, love, romance, support, companionship, the touch of another person, a partner. You learn to live without."
75,OLIN LONG,"I'll tell you one of the similarities between me and John is that we can be celibate for long periods of time. And I'll just be honest with you. I didn't mean to get into all of this, but I don't mind telling you. It will soon be six years."
76,BRIAN REED,"So much for romance. There was one time Olin knows about when John did fall in love. About two years into their knowing each other, Olin says there was a period where he stopped hearing from John as often as usual."
77,OLIN LONG,"And I called him one night. And it wasn't long before I could tell that there was something on his mind. And the next thing I knew, he went into tears."
78,BRIAN REED,"John told Olin that he'd recently become friends with a guy in town, and they'd started sleeping with each other and spending a lot of time together. The guy had told John he'd had his eye on him for a while. He had some college, and he seemed to have ambition in his career, which John liked. John was head over heels for the guy. He said to Olin that he'd told the guy he loved him, but that the guy didn't seem to reciprocate it. And now John hadn't seen him in a while, and he was leaving him messages saying I love you, call me sometime, and not getting any calls back."
79,OLIN LONG,"He told me what was going on. And then he burst into tears, and he sobbed. This wasn't just a few tears. It was sobbing. He was in the kitchen. He only had a phone in the kitchen. So he was sobbing in there."
80,BRIAN REED,Had you ever seen him cry?
81,BRIAN REED,More in a minute. [AD]
82,OLIN LONG,"And we were sitting there, and he had made a comment—"
83,BRIAN REED,"Olin and I are sitting with each other the first night we've met, and he's telling me all these memories of John. And it takes hours before I understand for sure whether he and John were ever a couple, if they ever actually tried. I don't ever ask Olin outright, but I don't need to. Because it gradually becomes clear that it never happened for them, and that for Olin his relationship with John still feels unresolved. He's telling me stories, remembering things. And in the course of this, his mind drifts now and again to a few tiny moments way in the past that stayed with him, because in them he and John seemed to acknowledge something that they found very difficult to speak about. Like one time when they were riding in the car together through Bibb County, and John had made some remark about Olin that Olin thought was unfair. And Olin told John as much."
84,OLIN LONG,"And when I finished, he smiled and he laughed. He said, you and I could never live together. He said, I just piss you off too much. And I didn't know what to think of that. We weren't talking about living together."
85,BRIAN REED,"Or another time on the phone, when—"
86,OLIN LONG,"He asked me, as long as we've been talking on the phone, do you still consider yourself searching for a partner?"
87,BRIAN REED,"And Olin thought for a moment and then said, not really, John. He wasn't really talking to anyone else."
88,OLIN LONG,"And there was some silence there, and I said, why do you ask? (FALTERING) I—I—I don't know. I don't know. I think he was trying to express an interest. I think it's—I didn't know—I didn't—I didn't delve any deeper. I didn't delve any deeper."
89,BRIAN REED,"I'm trying to figure out how you feel about this. Like, is this something that you feel is a missed opportunity?"
90,OLIN LONG,"(SIGHING) I'm not really sure. I think we had talked so much, and I wasn't comfortable enough with what I was feeling. I couldn't identify it."
91,BRIAN REED,Because what was so...?
92,OLIN LONG,"There were certain things that I was—that I found it hard to get past, some of his profanity and some of his anger. I was somewhat afraid of his anger. Even though I was wondering what it would be like, I wasn't certain that it was really a good place for me to be. Does that make sense?"
93,BRIAN REED,"Olin and John could get on each other's nerves. If you were feeling sensitive or emotional, John was not necessarily the greatest guy to talk to, and Olin felt he could sometimes just be thoughtless or mean. They once had a huge fight that was actually over Olin's favorite movie."
94,OLIN LONG,"It was 2005, because it would have been before Brokeback Mountain came out."
95,BRIAN REED,And he knows a ton about it.
96,OLIN LONG,The movie was filmed—they wrapped up shooting in August of 2004. It wasn't released until December of 2005. So we've got a year-and-a-half post-production.
97,BRIAN REED,"Olin, how many times have you seen this movie?"
98,OLIN LONG,"I would venture to say probably 50 or more times. When it first came out, I couldn't get enough of it. I watched it about every day."
99,OLIN LONG,"And I got so excited about it, I got on the phone, and I was telling John about it, about the movie. And he was listening and listening, and he wasn't saying very much. And then he started talking and telling me I was making too big of an issue out of this, you're getting too much into it. And one thing I really dislike is when I get excited about something, something that I find important, and I'm trying to make a point, and it gets discounted. So I got really irritated, so we got off the phone. I think I went outside. I know what I did."
100,BRIAN REED,"He went into his backyard and pounded the ground to let out his frustration with John. Olin saw parts of himself in both the movie's characters, Heath Ledger's character's fear of the world knowing he was gay, but also the way Jake Gyllenhaal's character could feel so hurt by that fear. And he really thought John would get a lot from it, too."
101,OLIN LONG,"I wanted him to relate to that. I wanted him to relate to it, and he didn't at first. But then, over time, we talked again. And I talked about it more, and I talked about it more. And then he began to be interested in hearing more of it. So I said, what is your address?"
102,BRIAN REED,"John didn't have a TV or go to the movies, so Olin ordered him a copy of the original short story."
103,OLIN LONG,"I did. I ordered a copy, and I had it sent to John. That was the second time I heard John cry, because he read it. He read Brokeback Mountain."
104,BRIAN REED,"He read about Jack Twist and Ennis Delmar, their secret trysts after falling for each other on the mountain with their wives and children at home. And how despite Jack's pleas to Ennis to just get a ranch with him and have a real relationship—never do that. Because Ennis insists, I'm stuck with what I got, caught in my own loop, can't get out of it. And who go on like that for years—Jack desperate to break out of the loop and Ennis too afraid. Until one day Ennis sends Jack a postcard, and it comes back with a stamp saying deceased."
105,OLIN LONG,"We were on the phone, and he was crying about it. He had read it. And after that, he always referred to it as the grief manual. He said, I took down the grief manual and read it again tonight."
106,BRIAN REED,"And so this is what Olin and John's relationship eventually settled into. They were confidants and close friends, supporting each other through this experience they were both living, of being middle-aged and gay in Alabama, and alone, John giving once in a while hints that maybe he wanted their relationship to be something more."
107,OLIN LONG,I want to ask you a question if I may.
108,BRIAN REED,Please.
109,OLIN LONG,"How did he take his life, and what were the circumstances?"
110,BRIAN REED,"I tell Olin how John did it. He had assumed, based on conversations with John, that it was a gunshot to the head."
111,OLIN LONG,He drank cyanide.
112,BRIAN REED,He drank cyanide.
113,OLIN LONG,"Um. OK. Yeah. Well, that's surprising that it was cyanide."
114,BRIAN REED,I'm sorry.
115,OLIN LONG,"Poor—no, that's all right."
116,BRIAN REED,I'm sorry.
117,OLIN LONG,"That's all right. That's all right. I was thinking that, you know, this—I just need to know. And I'll work through this. This is poor John. John."
118,BRIAN REED,Yeah.
119,OLIN LONG,John.
120,BRIAN REED,What led to John and Olin's not speaking during the last couple of years of John's life was a growing preoccupation with several subjects that Olin says John would not stop ranting to him about.
121,OLIN LONG,I heard a lot about climate change.
122,BRIAN REED,"Also the economy. Olin was a good friend. He would listen to John and actually engage with him on these topics. John would refer to certain books a lot, and Olin actually went and read several of them— Going Dark and Walking Away from Empire by Guy McPherson, and Al Gore's book, An Inconvenient Truth. He told John, I believe in climate change. I think it's an issue. I try to do my part. I switched over to energy-saving light bulbs. I don't know what else we can do besides have everybody do their part."
123,OLIN LONG,Then there was mostly Shittown. That was mostly it.
124,BRIAN REED,"And these tirades bothered Olin the most, because Olin felt, compared to climate change and oil and the economy, this was something John could actually do something about. John would go on and on about the miseries of Shittown, and Olin would tell him again and again, if it's really that bad, you can leave. You have the means. You can leave. And John would say, I know. I want to leave. And then the next time, on the phone from his kitchen, he'd be howling about Shittown again."
125,OLIN LONG,"And I just couldn't hear any more of it. I couldn't hear Shittown, Shittown. I couldn't hear it anymore. If you're not going—if you don't like it, leave it. You can leave it. You can leave it."
126,BRIAN REED,"After one such conversation in September 2013, having heard it for the umpteenth time, Olin hung up the phone."
127,OLIN LONG,And he sent me an email within a couple of days that was extremely profane.
128,BRIAN REED,"John had witnessed an incident at the Green Pond Grocery near his house that had set him off. Olin thinks it had something to do with how a father had disciplined his young son there in public, but Olin says John also made some indirect jabs at things Olin had expressed in their previous conversation. It wasn't a humorous message, he says. It was angry. And Olin felt at the end of his rope. So he responded and wrote simply, John, please don't send me any more of these profane emails. And John replied with another profane email back."
129,OLIN LONG,"—the doctor. And that may have been why he put on a clean, navy blue shirt, which I thought really enhanced that red hair. And he was wearing a pair of pants. I don't know if they were jeans, made out of denim jean material, but they hugged his thighs and such and his belly. And I just remember I just wanted to lean over there and do some stuff, because I'm sitting there in a truck with John B. McLemore outside a doctor's office picking up my azaleas, I knew exactly what I wanted to do. I knew exactly what I wanted to do. I wanted to reach over there. I wanted to pull his shirt up, expose his belly, and just kiss all over his belly around that red hair, just to that extent. And I wanted to do it slowly and sensuously. That's what I wanted to do and see what he thought about it. He's doing nothing but sitting there under the steering wheel of an F-150 pickup truck. But it was just the whole aura. It was the hair, the skin, the intelligence, the—he was in a jolly mood that day."
130,BRIAN REED,"And yet, instead of doing anything—"
131,OLIN LONG,"I kept those feelings to myself. I think now, if I could go back, if I could get in a time machine and go back there and relive that moment, I would at least speak up and tell him what I was thinking. I'd probably look over there and say, John, I don't know how you're going to feel about this, but I really want to kiss you right now. There. I've put it out there. That's what I want."
132,BRIAN REED," F-150 pickup truck love, denim hugging on your thighs love, azalea love, doctor's parking lot love, kissing on your belly and all around your red hair love. Too bad that didn't actually happen, because that's something you could write a country song about. "
